depth,vsv_avg,vsh_avg
137000.0,4385.20174534,4188.22134825
138000.0,4386.23813624,4189.8765821
139000.0,4387.28580087,4191.53836838
140000.0,4388.34473922,4193.20670707
141000.0,4389.41495129,4194.88159818
142000.0,4390.4964371,4196.5630417
143000.0,4391.58919662,4198.25103764
144000.0,4392.69322987,4199.945586
145000.0,4393.80853685,4201.64668678
146000.0,4394.93511755,4203.35433998
147000.0,4396.07297198,4205.06854559
148000.0,4397.22210013,4206.78930362
149000.0,4398.38250201,4208.51661406
150000.0,4399.55417761,4210.25047693
151000.0,4400.73712694,4211.99089221
152000.0,4401.93134999,4213.73785991
153000.0,4403.13684677,4215.49138002
154000.0,4404.35361727,4217.25145255
155000.0,4405.5816615,4219.0180775
156000.0,4406.82097945,4220.79125487
157000.0,4408.07157113,4222.57098465
158000.0,4409.33343654,4224.35726686
159000.0,4410.60657566,4226.15010147
160000.0,4411.89098852,4227.94948851
161000.0,4413.1866751,4229.75542796
162000.0,4414.4936354,4231.56791983
163000.0,4415.81186943,4233.38696412
164000.0,4417.14137719,4235.21256083
165000.0,4418.48215867,4237.04470995
166000.0,4419.83421387,4238.88341149
167000.0,4421.1975428,4240.72866544
168000.0,4422.57214546,4242.58047182
169000.0,4423.95802184,4244.43883061
170000.0,4425.35517194,4246.30374182
171000.0,4426.76359577,4248.17520544
172000.0,4428.18329333,4250.05322148
173000.0,4429.61426461,4251.93778994
174000.0,4431.05650962,4253.82891082
175000.0,4432.51002835,4255.72658411
176000.0,4433.97482081,4257.63080983
177000.0,4435.45088699,4259.54158795
178000.0,4436.93822689,4261.4589185
179000.0,4438.43684053,4263.38280146
180000.0,4439.98995476,4265.35646374
181000.0,4443.97832139,4269.52634868
182000.0,4447.91641712,4273.66457995
183000.0,4451.80424194,4277.77115753
184000.0,4455.64179585,4281.84608144
185000.0,4459.42907886,4285.88935167
186000.0,4463.16609095,4289.90096822
187000.0,4466.85283215,4293.88093109
188000.0,4470.48930243,4297.82924029
189000.0,4474.07550181,4301.7458958
190000.0,4477.61143028,4305.63089764
191000.0,4481.09708784,4309.4842458
192000.0,4484.5324745,4313.30594028
193000.0,4487.91759025,4317.09598108
194000.0,4491.25243509,4320.85436821
195000.0,4494.53700903,4324.58110166
196000.0,4497.77131205,4328.27618142
197000.0,4500.95534418,4331.93960751
198000.0,4504.08910539,4335.57137993
199000.0,4507.1725957,4339.17149866
200000.0,4510.2058151,4342.73996372
201000.0,4513.18876359,4346.27677509
202000.0,4516.12144118,4349.78193279
203000.0,4519.00384786,4353.25543681
204000.0,4521.83598363,4356.69728716
205000.0,4524.6178485,4360.10748382
206000.0,4527.34944246,4363.48602681
207000.0,4530.03076551,4366.83291611
208000.0,4532.66181766,4370.14815174
209000.0,4535.2425989,4373.43173369
210000.0,4537.77310923,4376.68366197
