depth,vsv_avg,vsh_avg
85000.0,4216.85381248,4005.79590189
86000.0,4216.2335733,4007.97221444
87000.0,4215.7289046,4010.18476669
88000.0,4215.33980637,4012.43355866
89000.0,4215.06627862,4014.71859032
90000.0,4214.90832134,4017.03986169
91000.0,4214.86593455,4019.39737277
92000.0,4214.93911822,4021.79112355
93000.0,4215.12787238,4024.22111404
94000.0,4215.43219701,4026.68734423
95000.0,4215.85209211,4029.18981413
96000.0,4216.3875577,4031.72852374
97000.0,4217.03859375,4034.30347305
98000.0,4217.80520029,4036.91466206
99000.0,4218.6873773,4039.56209078
100000.0,4219.68512479,4042.24575921
101000.0,4220.79844275,4044.96566734
102000.0,4222.02733119,4047.72181517
103000.0,4223.37179011,4050.51420271
104000.0,4224.8318195,4053.34282996
105000.0,4226.40741937,4056.20769691
106000.0,4228.09858972,4059.10880357
107000.0,4229.90533054,4062.04614993
108000.0,4231.82764183,4065.019736
109000.0,4233.86552361,4068.02956177
110000.0,4236.01897586,4071.07562725
111000.0,4238.28799859,4074.15793243
112000.0,4240.67259179,4077.27647732
113000.0,4243.17275547,4080.43126192
114000.0,4245.78848962,4083.62228622
115000.0,4248.51979425,4086.84955022
116000.0,4251.36666936,4090.11305393
117000.0,4254.32911494,4093.41279735
118000.0,4257.407131,4096.74878047
119000.0,4260.60071754,4100.12100329
120000.0,4263.90987455,4103.52946582
121000.0,4267.33460204,4106.97416806
122000.0,4270.87490001,4110.45511
123000.0,4274.53076845,4113.97229165
124000.0,4278.30220737,4117.525713
125000.0,4282.18921676,4121.11537406
126000.0,4286.19179663,4124.74127483
127000.0,4290.30994698,4128.40341529
128000.0,4294.5436678,4132.10179547
129000.0,4298.8929591,4135.83641535
130000.0,4303.35782091,4139.60727494
131000.0,4304.29789833,4142.78789705
132000.0,4305.24231939,4145.96545921
133000.0,4306.19108443,4149.13996145
134000.0,4307.14419343,4152.31140377
135000.0,4308.10164641,4155.47978618
136000.0,4309.06344335,4158.64510868
137000.0,4310.02958427,4161.80737127
138000.0,4311.00006916,4164.96657394
139000.0,4311.97489802,4168.1227167
140000.0,4312.95407084,4171.27579955
141000.0,4313.93758764,4174.42582248
142000.0,4314.92544841,4177.5727855
143000.0,4315.91765315,4180.71668861
144000.0,4316.91420187,4183.8575318
145000.0,4317.91509455,4186.99531508
146000.0,4318.9203312,4190.13003845
147000.0,4319.92991182,4193.2617019
148000.0,4320.94383642,4196.39030545
149000.0,4321.96210498,4199.51584907
150000.0,4322.98471752,4202.63833279
151000.0,4324.01167402,4205.75775659
152000.0,4325.0429745,4208.87412048
153000.0,4326.07861895,4211.98742446
154000.0,4327.11860736,4215.09766852
155000.0,4328.16293975,4218.20485267
156000.0,4329.21161611,4221.30897691
157000.0,4330.26463644,4224.41004123
158000.0,4331.32200074,4227.50804564
159000.0,4332.38370901,4230.60299014
160000.0,4333.44976125,4233.69487472
161000.0,4334.52015747,4236.78369939
162000.0,4335.59489765,4239.86946415
163000.0,4336.6739818,4242.95216899
164000.0,4337.75740993,4246.03181392
165000.0,4338.84518202,4249.10839894
166000.0,4339.93729809,4252.18192405
167000.0,4341.03375812,4255.25238924
168000.0,4342.13456213,4258.31979452
169000.0,4343.23971011,4261.38413988
170000.0,4344.34920205,4264.44542534
171000.0,4345.46303797,4267.50365088
172000.0,4346.58121786,4270.5588165
173000.0,4347.70374172,4273.61092222
174000.0,4348.83060955,4276.65996802
175000.0,4349.96182135,4279.7059539
176000.0,4351.09737713,4282.74887988
177000.0,4352.23727687,4285.78874594
178000.0,4353.38152058,4288.82555208
179000.0,4354.53010826,4291.85929832
180000.0,4355.72626664,4294.93321158
181000.0,4360.89759823,4299.75448994
182000.0,4366.01246899,4304.52654946
183000.0,4371.0708789,4309.24939014
184000.0,4376.07282798,4313.92301198
185000.0,4381.01831623,4318.54741498
186000.0,4385.90734364,4323.12259914
187000.0,4390.73991021,4327.64856447
188000.0,4395.51601594,4332.12531095
189000.0,4400.23566084,4336.55283859
190000.0,4404.89884491,4340.9311474
191000.0,4409.50556814,4345.26023737
192000.0,4414.05583053,4349.5401085
193000.0,4418.54963208,4353.77076079
194000.0,4422.9869728,4357.95219424
195000.0,4427.36785268,4362.08440885
196000.0,4431.69227173,4366.16740462
