depth,vsv_avg,vsh_avg
159000.0,4478.15000866,4222.30514667
160000.0,4479.62297029,4222.98849532
161000.0,4481.1131893,4223.68669639
162000.0,4482.62066571,4224.39974988
163000.0,4484.1453995,4225.12765579
164000.0,4485.68739069,4225.87041411
165000.0,4487.24663926,4226.62802485
166000.0,4488.82314523,4227.40048801
167000.0,4490.41690858,4228.18780358
168000.0,4492.02792933,4228.98997157
169000.0,4493.65620746,4229.80699198
170000.0,4495.30174299,4230.63886481
171000.0,4496.9645359,4231.48559005
172000.0,4498.64458621,4232.34716771
173000.0,4500.3418939,4233.22359779
174000.0,4502.05645899,4234.11488028
175000.0,4503.78828146,4235.02101519
176000.0,4505.53736132,4235.94200252
177000.0,4507.30369858,4236.87784227
178000.0,4509.08729322,4237.82853443
179000.0,4510.88814526,4238.79407901
180000.0,4512.74948169,4239.81770287
181000.0,4515.71638852,4243.42512636
182000.0,4518.63836928,4247.01606323
183000.0,4521.51542398,4250.59051349
184000.0,4524.34755262,4254.14847713
185000.0,4527.1347552,4257.68995416
186000.0,4529.87703171,4261.21494458
187000.0,4532.57438216,4264.72344838
188000.0,4535.22680655,4268.21546557
189000.0,4537.83430488,4271.69099614
190000.0,4540.39687715,4275.1500401
191000.0,4542.91452335,4278.59259745
192000.0,4545.38724349,4282.01866819
193000.0,4547.81503757,4285.42825231
194000.0,4550.19790558,4288.82134981
195000.0,4552.53584754,4292.1979607
196000.0,4554.82886343,4295.55808498
197000.0,4557.07695326,4298.90172265
198000.0,4559.28011703,4302.2288737
199000.0,4561.43835473,4305.53953814
200000.0,4563.55166638,4308.83371596
201000.0,4565.62005196,4312.11140717
202000.0,4567.64351148,4315.37261177
203000.0,4569.62204493,4318.61732975
204000.0,4571.55565233,4321.84556112
205000.0,4573.44433366,4325.05730587
206000.0,4575.28808893,4328.25256401
207000.0,4577.08691814,4331.43133554
208000.0,4578.84082128,4334.59362045
209000.0,4580.54979837,4337.73941875
210000.0,4582.21384939,4340.86873044
211000.0,4583.83297435,4343.98155551
212000.0,4585.40717324,4347.07789397
213000.0,4586.93644608,4350.15774581
214000.0,4588.42079285,4353.22111104
215000.0,4589.86021356,4356.26798966
216000.0,4591.25470821,4359.29838166
217000.0,4592.60427679,4362.31228705
218000.0,4593.90891932,4365.30970583
219000.0,4595.16863578,4368.29063799
220000.0,4596.38342618,4371.25508354
221000.0,4597.55329051,4374.20304247
222000.0,4598.67822879,4377.13451479
223000.0,4599.758241,4380.0495005
224000.0,4600.79332715,4382.94799959
225000.0,4601.78348724,4385.83001207
226000.0,4602.72872126,4388.69553794
227000.0,4603.06331563,4391.52740186
228000.0,4602.30545058,4394.32292484
229000.0,4601.628501,4397.12370575
230000.0,4601.03246688,4399.92974458
231000.0,4600.51734823,4402.74104133
232000.0,4600.08314504,4405.557596
233000.0,4599.72985731,4408.3794086
234000.0,4599.45748505,4411.20647911
235000.0,4599.26602825,4414.03880754
236000.0,4599.15548691,4416.8763939
237000.0,4599.12586104,4419.71923817
238000.0,4599.17715063,4422.56734037
239000.0,4599.30935569,4425.42070048
240000.0,4599.52247621,4428.27931852
241000.0,4599.81651219,4431.14319448
242000.0,4600.19146363,4434.01232836
243000.0,4600.64733054,4436.88672016
244000.0,4601.18411292,4439.76636988
245000.0,4601.80181075,4442.65127753
246000.0,4602.50042405,4445.54144309
247000.0,4603.27995282,4448.43686657
248000.0,4604.14039704,4451.33754798
249000.0,4605.08175673,4454.2434873
250000.0,4606.10403189,4457.15468455
251000.0,4607.20722251,4460.07113972
252000.0,4608.39132859,4462.99285281
253000.0,4609.65635014,4465.91982382
254000.0,4611.00228714,4468.85205275
255000.0,4612.42913962,4471.7895396
