date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max category
05-Jan-2013 08:58:19 55.230000 -134.800000 3.100000 7.500000 95.620000 32.900000 -11.181019 SKS 51.000000 1.025641 -Inf Inf 0.000000 Inf 75016.553369 -0.545828 -0.763999 -0.327657 average
28-Oct-2012 03:04:07 52.680000 -132.170000 7.400000 7.800000 97.950000 34.700000 -11.181019 SKS 34.700000 0.000000 0.000000 0.000000 0.000000 0.000000 1018075.950252 0.777612 0.183850 1.371374 null-measurement
28-May-2012 05:07:23 -28.020000 -63.110000 591.100000 6.700000 158.010000 181.600000 -11.181019 SKKS 60.000000 1.333333 20.000000 83.000000 0.307692 2.974359 11568.324009 -1.136334 -1.434730 -0.837937 good
17-Apr-2012 19:03:57 -59.190000 -16.810000 13.600000 6.200000 115.970000 204.600000 -11.181019 SKS 62.000000 0.820513 26.000000 109.000000 0.000000 4.000000 216939.966511 -0.578257 -0.816056 -0.340458 poor
14-Apr-2012 10:56:18 -57.580000 -65.370000 8.400000 6.200000 128.450000 178.900000 -11.181019 SKS 81.000000 2.871795 -Inf Inf 0.000000 Inf 247460.632468 -0.047827 -0.330444 0.234789 poor
11-Apr-2012 22:55:10 18.200000 -102.880000 27.600000 6.700000 134.450000 56.900000 -11.181019 PKS 72.000000 2.564103 58.000000 134.000000 0.102564 4.000000 7272.889210 -0.806932 -1.225139 -0.388726 average
20-Mar-2012 18:02:47 16.470000 -98.370000 19.400000 7.500000 139.050000 55.900000 -11.181019 PKS 79.000000 1.846154 59.000000 132.000000 0.205128 4.000000 113958.960873 -1.158071 -1.540537 -0.775604 good
05-Mar-2012 07:46:09 -28.260000 -63.290000 551.900000 6.100000 157.780000 181.100000 -11.181019 SKKS 57.000000 0.923077 24.000000 79.000000 0.307692 1.743590 69577.215430 -0.781423 -1.009589 -0.553258 good
22-Nov-2011 18:48:16 -15.310000 -65.160000 560.300000 6.600000 170.640000 172.200000 -11.181019 SKKS 66.000000 0.717949 179.000000 80.000000 0.000000 2.358974 69668.759821 -0.343245 -0.465529 -0.220962 good
09-Sep-2011 19:41:33 49.390000 -127.060000 15.400000 6.500000 102.190000 36.500000 -11.181019 SKS 64.000000 1.230769 -Inf Inf 0.000000 Inf 344134.465580 -0.812824 -1.142861 -0.482788 good
03-Sep-2011 16:20:53 -38.160000 -73.700000 18.000000 5.800000 146.650000 165.900000 -11.181019 SKKS 7.000000 2.974359 -11.000000 26.000000 1.128205 4.000000 200447.141978 0.284552 -0.310366 0.879470 poor
02-Sep-2011 13:47:10 -28.410000 -63.140000 592.700000 6.700000 157.620000 181.500000 -11.181019 SKKS 61.000000 1.641026 43.000000 74.000000 0.923077 2.461538 133440.579460 -1.121841 -1.547315 -0.696366 average
06-Mar-2011 12:31:58 -18.210000 -69.500000 114.500000 6.300000 166.620000 156.600000 -11.181019 SKKS 81.000000 4.000000 69.000000 91.000000 3.179487 4.000000 107774.848455 -0.213166 -0.431644 0.005311 poor
11-Feb-2011 20:05:28 -36.460000 -73.160000 12.800000 6.800000 148.400000 165.700000 -11.181019 SKKS 22.000000 1.743590 -11.000000 71.000000 0.102564 4.000000 160866.230912 -1.040499 -1.502325 -0.578673 poor
02-Jan-2011 20:20:18 -38.390000 -73.400000 24.400000 7.100000 146.500000 166.400000 -11.181019 SKKS -3.000000 4.000000 -Inf Inf 0.000000 Inf 212031.259815 -0.710162 -1.203579 -0.216745 poor
01-Jan-2011 09:56:58 -26.850000 -63.240000 584.300000 7.000000 159.190000 181.300000 -11.181019 SKKS 52.000000 1.641026 3.000000 -91.000000 0.000000 3.897436 323640.671618 -0.698626 -1.207193 -0.190060 average
14-Jul-2010 08:32:21 -38.060000 -73.460000 25.700000 6.600000 146.800000 166.100000 -11.181019 SKKS 61.000000 1.846154 -Inf Inf 0.000000 Inf 10005170.856599 -0.514374 -1.981091 0.952343 poor
24-May-2010 16:18:28 -8.120000 -71.640000 582.100000 6.500000 171.930000 106.300000 -11.181019 PKIKS -5.000000 4.000000 -Inf Inf 0.000000 Inf 43446.873030 0.179713 0.010874 0.348552 poor
24-May-2010 16:18:28 -8.120000 -71.640000 582.100000 6.500000 171.930000 106.300000 -11.181019 SKKS 65.000000 0.717949 23.000000 100.000000 0.000000 1.538462 168952.049384 0.713185 0.495239 0.931131 good
23-May-2010 22:46:51 -14.000000 -74.430000 102.600000 6.100000 166.850000 129.000000 -11.181019 SKKS 129.000000 0.000000 0.000000 0.000000 0.000000 0.000000 119263.051763 -0.092523 -0.265734 0.080689 null-measurement
16-Mar-2010 03:04:37 -36.500000 -73.300000 27.000000 5.900000 148.320000 165.500000 -11.181019 PKS 44.000000 4.000000 -Inf Inf 0.000000 Inf 10562153.027292 -0.640908 -4.354248 3.072431 poor
11-Mar-2010 15:06:02 -34.470000 -72.040000 33.000000 6.000000 150.570000 166.200000 -11.181019 PKIKS -28.000000 4.000000 -Inf Inf 0.000000 Inf 11373818.622596 0.939369 -0.157903 2.036641 poor
11-Mar-2010 14:55:29 -34.290000 -71.800000 24.400000 7.000000 150.790000 166.500000 -11.181019 SKKS 44.000000 4.000000 -Inf Inf 0.000000 Inf 781170.796884 -0.608385 -1.687601 0.470831 poor
11-Mar-2010 14:39:45 -34.350000 -71.960000 19.300000 6.900000 150.700000 166.300000 -11.181019 SKKS 33.000000 1.435897 -Inf Inf 0.000000 Inf 250196.517180 -1.220656 -1.702266 -0.739046 average
05-Mar-2010 11:47:07 -36.670000 -73.450000 21.800000 6.600000 148.130000 165.400000 -11.181019 SKKS 60.000000 4.000000 -Inf Inf 0.000000 Inf 1013822.734265 -0.465573 -1.429574 0.498427 poor
28-Feb-2010 11:25:35 -35.000000 -71.600000 41.600000 6.200000 150.160000 167.200000 -11.181019 SKKS 57.000000 0.410256 -Inf Inf 0.000000 Inf 66435.338715 -0.277512 -0.408475 -0.146549 poor
12-Jan-2010 21:53:10 18.380000 -72.590000 15.000000 7.000000 154.080000 19.100000 -11.181019 SKKS 19.100000 0.000000 0.000000 0.000000 0.000000 0.000000 607356.048785 -0.192852 -0.657416 0.271712 null-measurement
10-Jan-2010 00:27:41 40.670000 -124.470000 20.600000 6.500000 107.500000 43.900000 -11.181019 SKS 54.000000 2.358974 47.000000 83.000000 0.410256 4.000000 6490.340311 -0.455681 -0.649281 -0.262082 poor
17-Nov-2009 15:30:46 51.960000 -131.600000 8.700000 6.600000 98.540000 35.300000 -11.181019 SKS 35.300000 0.000000 0.000000 0.000000 0.000000 0.000000 54492.263908 -0.604623 -0.861940 -0.347306 null-measurement
13-Nov-2009 03:05:58 -19.470000 -70.420000 36.000000 6.500000 165.110000 155.600000 -11.181019 SKKS -32.000000 4.000000 -Inf Inf 0.000000 Inf 119389.458971 -0.300126 -0.659660 0.059407 poor
13-Aug-2009 09:37:35 8.080000 -85.550000 6.100000 5.800000 154.100000 56.800000 -11.181019 SKIKS 42.000000 4.000000 -Inf Inf 0.000000 Inf 18419.792965 0.190056 -0.450464 0.830575 poor
07-Jul-2009 19:11:45 75.340000 -72.690000 15.200000 6.000000 98.440000 2.300000 -11.181019 SKS 31.000000 0.923077 10.000000 73.000000 0.205128 1.846154 138658.932961 -0.695247 -0.916332 -0.474161 average
16-Jun-2009 20:05:58 -54.400000 5.870000 16.000000 6.100000 106.670000 214.800000 -11.181019 SKS 69.000000 2.666667 45.000000 98.000000 0.923077 4.000000 87448.508375 -0.651082 -1.242356 -0.059808 average
16-Apr-2009 14:57:06 -60.290000 -27.030000 17.600000 6.700000 119.100000 199.800000 -11.181019 SKS 29.000000 2.358974 21.000000 84.000000 0.102564 4.000000 92831.524811 -0.333734 -0.537847 -0.129622 poor
16-Apr-2009 14:57:06 -60.290000 -27.030000 17.600000 6.700000 119.100000 199.800000 -11.181019 SKKS 61.000000 1.948718 24.000000 104.000000 0.205128 4.000000 192535.885660 -1.613792 -2.191045 -1.036540 average
15-Feb-2009 10:04:50 -5.820000 -80.920000 30.200000 5.900000 162.960000 90.100000 -11.181019 SKKS 90.100000 0.000000 0.000000 0.000000 0.000000 0.000000 159950.994599 0.303145 -0.009187 0.615476 null-measurement
09-Feb-2009 14:09:03 -6.650000 -81.170000 20.700000 5.900000 162.710000 93.000000 -11.181019 SKKS 12.000000 2.564103 3.000000 23.000000 0.410256 4.000000 79713.738204 -0.007461 -0.192798 0.177876 poor
28-Aug-2008 15:22:23 -0.020000 -17.440000 4.500000 6.300000 133.350000 275.800000 -11.181019 PKS 43.000000 0.820513 9.000000 88.000000 0.000000 4.000000 82727.632486 0.586738 0.346976 0.826499 poor
05-Jan-2008 11:01:05 51.260000 -130.760000 10.000000 6.600000 99.280000 35.700000 -11.181019 SKS 48.000000 1.846154 42.000000 57.000000 0.923077 2.769231 64184.127711 -0.202159 -0.367302 -0.037017 poor
10-Sep-2007 01:49:14 3.000000 -77.900000 29.000000 6.800000 163.250000 56.900000 -11.181019 SKKS 72.000000 4.000000 -Inf Inf 0.000000 Inf 222676.334331 -0.188770 -0.856139 0.478598 poor
16-Aug-2007 05:16:56 -14.280000 -76.090000 24.700000 6.400000 165.360000 126.000000 -11.181019 SKKS 54.000000 1.333333 -Inf Inf 0.000000 Inf 175542.324644 0.412855 0.166549 0.659161 poor
21-Jul-2007 15:34:52 -22.210000 -65.750000 290.600000 6.400000 163.720000 173.700000 -11.181019 SKKS 70.000000 2.153846 59.000000 77.000000 1.025641 3.692308 66744.139608 -0.227795 -0.475199 0.019609 good
21-Jul-2007 13:27:03 -8.090000 -71.210000 633.700000 6.000000 172.360000 107.000000 -11.181019 SKKS 78.000000 0.923077 36.000000 99.000000 0.205128 1.948718 122943.211510 0.545235 0.354827 0.735643 good
24-Feb-2007 02:36:22 -6.970000 -80.450000 9.900000 6.300000 163.420000 94.200000 -11.181019 SKKS 20.000000 1.333333 6.000000 80.000000 0.102564 4.000000 47577.514493 0.529461 0.324539 0.734384 average
13-Nov-2006 01:26:36 -26.160000 -63.290000 581.900000 6.800000 159.880000 181.300000 -11.181019 SKKS 22.000000 1.128205 -Inf Inf 0.000000 Inf 25137.025712 -0.238734 -0.482164 0.004696 poor
17-Sep-2006 09:34:14 -31.750000 -67.150000 142.000000 6.200000 154.100000 173.500000 -11.181019 SKKS 51.000000 2.256410 24.000000 75.000000 0.820513 3.487179 260677.037188 -0.035672 -0.274662 0.203319 poor
20-Aug-2006 03:41:45 -61.020000 -34.290000 0.500000 7.000000 120.760000 196.100000 -11.181019 SKKS 79.000000 2.666667 -Inf Inf 0.000000 Inf 55330.963138 -1.035151 -1.817279 -0.253023 poor
08-Jan-2006 11:34:54 36.280000 23.270000 58.400000 6.700000 88.790000 306.300000 -11.181019 SKS 54.000000 1.333333 44.000000 74.000000 0.512821 2.256410 22468.766566 0.572652 0.345810 0.799495 good
02-Jan-2006 06:10:48 -61.010000 -21.650000 10.000000 7.400000 116.710000 201.400000 -11.181019 SKS -48.000000 4.000000 -Inf Inf 0.000000 Inf 1652052.954973 0.509174 -0.805606 1.823955 poor
02-Jan-2006 06:10:48 -61.010000 -21.650000 10.000000 7.400000 116.710000 201.400000 -11.181019 SKKS 53.000000 1.230769 -Inf Inf 0.000000 Inf 186486.084910 -0.788875 -1.245723 -0.332027 poor
