3.127	-0.04616	-0.1004
3.175	-0.04928	-0.1002
3.224	-0.0526	-0.09967
3.273	-0.05609	-0.09888
3.322	-0.05976	-0.09779
3.371	-0.06358	-0.09641
3.42	-0.06756	-0.09474
3.468	-0.07168	-0.09277
3.517	-0.07595	-0.09053
3.566	-0.08035	-0.08802
3.615	-0.08489	-0.08527
3.664	-0.08958	-0.08231
3.713	-0.09441	-0.07916
3.762	-0.09938	-0.07585
3.81	-0.1045	-0.07241
3.859	-0.1097	-0.06887
3.908	-0.1151	-0.06524
3.957	-0.1206	-0.06154
4.006	-0.1263	-0.0578
4.055	-0.132	-0.05402
4.104	-0.1378	-0.05021
4.152	-0.1436	-0.04637
4.201	-0.1495	-0.0425
4.25	-0.1553	-0.03861
4.299	-0.1611	-0.03469
4.348	-0.1668	-0.03075
4.397	-0.1724	-0.02678
4.446	-0.1779	-0.02281
4.494	-0.1831	-0.01883
4.543	-0.1881	-0.01486
4.592	-0.1929	-0.01091
4.641	-0.1974	-0.006992
4.69	-0.2015	-0.003134
4.739	-0.2054	0.0006503
4.787	-0.2089	0.004341
4.836	-0.212	0.007918
4.885	-0.2147	0.01136
4.934	-0.2171	0.01466
4.983	-0.2191	0.01779
5.032	-0.2206	0.02074
5.081	-0.2218	0.02349
5.129	-0.2226	0.02603
5.178	-0.223	0.02836
5.227	-0.223	0.03047
5.276	-0.2226	0.03235
5.325	-0.2219	0.03401
5.374	-0.2208	0.03545
5.423	-0.2194	0.03667
5.471	-0.2178	0.0377
5.52	-0.2159	0.03854
5.569	-0.2138	0.0392
5.618	-0.2116	0.03972
5.667	-0.2092	0.0401
5.716	-0.2067	0.04037
5.765	-0.2041	0.04054
5.813	-0.2014	0.04063
5.862	-0.1987	0.04064
5.911	-0.196	0.04059
5.96	-0.1932	0.04048
6.009	-0.1904	0.0403
6.058	-0.1876	0.04005
6.106	-0.1847	0.03972
6.155	-0.1818	0.03929
6.204	-0.1788	0.03876
6.253	-0.1757	0.03809
6.302	-0.1725	0.03728
6.351	-0.1693	0.03631
6.4	-0.166	0.03517
6.448	-0.1626	0.03383
6.497	-0.1592	0.0323
6.546	-0.1558	0.03057
6.595	-0.1523	0.02863
6.644	-0.1489	0.02647
6.693	-0.1455	0.02411
6.742	-0.1423	0.02154
6.79	-0.1391	0.01876
6.839	-0.136	0.01578
6.888	-0.133	0.01262
6.937	-0.1303	0.009271
6.986	-0.1276	0.005761
7.035	-0.1252	0.002104
7.084	-0.1229	-0.001677
7.132	-0.1208	-0.005558
7.181	-0.1189	-0.009508
7.23	-0.117	-0.0135
7.279	-0.1154	-0.01748
7.328	-0.1138	-0.02143
7.377	-0.1123	-0.0253
7.426	-0.1108	-0.02905
7.474	-0.1094	-0.03264
7.523	-0.108	-0.03602
7.572	-0.1065	-0.03917
7.621	-0.1051	-0.04205
7.67	-0.1036	-0.04464
7.719	-0.1021	-0.04692
7.767	-0.1005	-0.04887
7.816	-0.0988	-0.0505
7.865	-0.09705	-0.05182
7.914	-0.09523	-0.05282
7.963	-0.09332	-0.05354
8.012	-0.09131	-0.05399
8.061	-0.08922	-0.05419
8.109	-0.08702	-0.05418
8.158	-0.08471	-0.05397
8.207	-0.08227	-0.05359
8.256	-0.07969	-0.05306
8.305	-0.07696	-0.0524
8.354	-0.07406	-0.05162
8.403	-0.07097	-0.05072
8.451	-0.06767	-0.04972
8.5	-0.06416	-0.04863
8.549	-0.06039	-0.04743
8.598	-0.05637	-0.04614
8.647	-0.05209	-0.04475
8.696	-0.04753	-0.04329
8.745	-0.04269	-0.04175
8.793	-0.03755	-0.04015
8.842	-0.03214	-0.0385
8.891	-0.02643	-0.03683
8.94	-0.02044	-0.03517
8.989	-0.01417	-0.03354
9.038	-0.007631	-0.03198
9.086	-0.0008309	-0.03052
9.135	0.00622	-0.0292
9.184	0.01351	-0.02806
9.233	0.02102	-0.02714
9.282	0.02874	-0.02647
9.331	0.03666	-0.02607
9.38	0.04475	-0.02597
9.428	0.05301	-0.02619
9.477	0.06142	-0.02671
9.526	0.06996	-0.02755
9.575	0.07862	-0.02868
9.624	0.08738	-0.03007
9.673	0.09624	-0.03169
9.722	0.1052	-0.0335
9.77	0.1142	-0.03543
